SN,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance
99092,2008,1,16,3,1529,1530,1719,1740,XE,555,N19554,110,130,92,-21,-1,MSY,MCI,690
99093,2008,1,17,4,1548,1530,1746,1740,XE,555,N13553,118,130,105,6,18,MSY,MCI,690
99094,2008,1,18,5,1528,1530,1733,1740,XE,555,N16178,125,130,110,-7,-2,MSY,MCI,690
99095,2008,1,19,6,1528,1530,1726,1740,XE,555,N16559,118,130,102,-14,-2,MSY,MCI,690
99096,2008,1,20,7,1520,1530,1723,1740,XE,555,N12563,123,130,109,-17,-10,MSY,MCI,690
99097,2008,1,21,1,1520,1530,1729,1740,XE,555,N19554,129,130,107,-11,-10,MSY,MCI,690
99098,2008,1,22,2,1520,1530,1720,1740,XE,555,N14907,120,130,109,-20,-10,MSY,MCI,690
99099,2008,1,23,3,1523,1530,1738,1740,XE,555,N13553,135,130,117,-2,-7,MSY,MCI,690
99100,2008,1,24,4,1527,1530,1734,1740,XE,555,N12563,127,130,110,-6,-3,MSY,MCI,690
99101,2008,1,25,5,1522,1530,1742,1740,XE,555,N19554,140,130,122,2,-8,MSY,MCI,690
99102,2008,1,26,6,1520,1530,1714,1740,XE,555,N11193,114,130,104,-26,-10,MSY,MCI,690
99103,2008,1,27,7,1523,1530,1724,1740,XE,555,N12166,121,130,105,-16,-7,MSY,MCI,690
99104,2008,1,28,1,1525,1530,1739,1740,XE,555,N14203,134,130,114,-1,-5,MSY,MCI,690
99105,2008,1,29,2,1528,1530,1734,1740,XE,555,N14562,126,130,107,-6,-2,MSY,MCI,690
99106,2008,1,30,3,1521,1530,1727,1740,XE,555,N13553,126,130,114,-13,-9,MSY,MCI,690
99107,2008,1,31,4,1538,1530,1754,1740,XE,555,N16546,136,130,118,14,8,MSY,MCI,690
99108,2008,1,1,2,1258,1300,1444,1457,XE,556,N11544,106,117,93,-13,-2,MCI,MSY,690
99109,2008,1,2,3,1302,1300,1445,1457,XE,556,N12563,103,117,91,-12,2,MCI,MSY,690
99110,2008,1,3,4,1348,1300,1542,1457,XE,556,N16561,114,117,98,45,48,MCI,MSY,690
99111,2008,1,4,5,1406,1300,1547,1457,XE,556,N11551,101,117,90,50,66,MCI,MSY,690
99112,2008,1,5,6,1256,1300,1453,1457,XE,556,N12563,117,117,105,-4,-4,MCI,MSY,690
99113,2008,1,6,7,1300,1300,1448,1457,XE,556,N13553,108,117,95,-9,0,MCI,MSY,690
99114,2008,1,7,1,1259,1300,1450,1457,XE,556,N12552,111,117,97,-7,-1,MCI,MSY,690
99115,2008,1,8,2,1252,1300,1446,1457,XE,556,N14907,114,117,101,-11,-8,MCI,MSY,690
99116,2008,1,9,3,1250,1300,1448,1457,XE,556,N11551,118,117,98,-9,-10,MCI,MSY,690
99117,2008,1,10,4,1305,1300,1531,1457,XE,556,N12552,146,117,123,34,5,MCI,MSY,690
99118,2008,1,11,5,1250,1300,1443,1457,XE,556,N12563,113,117,98,-14,-10,MCI,MSY,690
99119,2008,1,12,6,1252,1300,1456,1457,XE,556,N13553,124,117,109,-1,-8,MCI,MSY,690
99120,2008,1,13,7,1254,1300,1444,1457,XE,556,N27190,110,117,96,-13,-6,MCI,MSY,690
99121,2008,1,14,1,1245,1300,1443,1457,XE,556,N18557,118,117,98,-14,-15,MCI,MSY,690
99122,2008,1,15,2,1257,1300,1442,1457,XE,556,N14186,105,117,91,-15,-3,MCI,MSY,690
99123,2008,1,16,3,1252,1300,1504,1457,XE,556,N19554,132,117,112,7,-8,MCI,MSY,690
99124,2008,1,17,4,1307,1300,1520,1457,XE,556,N13553,133,117,109,23,7,MCI,MSY,690
99125,2008,1,18,5,1252,1300,1459,1457,XE,556,N16178,127,117,100,2,-8,MCI,MSY,690
99126,2008,1,19,6,1300,1300,1457,1457,XE,556,N16559,117,117,102,0,0,MCI,MSY,690
99127,2008,1,20,7,1254,1300,1445,1457,XE,556,N12563,111,117,95,-12,-6,MCI,MSY,690
99128,2008,1,21,1,1238,1300,1437,1457,XE,556,N19554,119,117,100,-20,-22,MCI,MSY,690
99129,2008,1,22,2,1259,1300,1448,1457,XE,556,N14907,109,117,93,-9,-1,MCI,MSY,690
99130,2008,1,23,3,1250,1300,1439,1457,XE,556,N13553,109,117,96,-18,-10,MCI,MSY,690
99131,2008,1,24,4,1258,1300,1453,1457,XE,556,N12563,115,117,99,-4,-2,MCI,MSY,690
99132,2008,1,25,5,1253,1300,1502,1457,XE,556,N19554,129,117,100,5,-7,MCI,MSY,690
99133,2008,1,26,6,1250,1300,1446,1457,XE,556,N11193,116,117,103,-11,-10,MCI,MSY,690
99134,2008,1,27,7,1250,1300,1433,1457,XE,556,N12166,103,117,88,-24,-10,MCI,MSY,690
99135,2008,1,28,1,1250,1300,1456,1457,XE,556,N14203,126,117,99,-1,-10,MCI,MSY,690
99136,2008,1,29,2,1245,1300,1451,1457,XE,556,N14562,126,117,100,-6,-15,MCI,MSY,690
99137,2008,1,30,3,1251,1300,1439,1457,XE,556,N13553,108,117,94,-18,-9,MCI,MSY,690
99138,2008,1,31,4,1246,1300,1504,1457,XE,556,N16546,138,117,128,7,-14,MCI,MSY,690
99139,2008,1,1,2,1219,1155,1427,1405,XE,560,N11547,128,130,110,22,24,MSY,MCI,690
99140,2008,1,2,3,1150,1155,1401,1405,XE,560,N11544,131,130,119,-4,-5,MSY,MCI,690
99141,2008,1,3,4,1150,1155,1354,1405,XE,560,N18557,124,130,111,-11,-5,MSY,MCI,690
99142,2008,1,4,5,1146,1155,1402,1405,XE,560,N11547,136,130,121,-3,-9,MSY,MCI,690
99143,2008,1,5,6,1146,1155,1402,1405,XE,560,N11551,136,130,121,-3,-9,MSY,MCI,690
99144,2008,1,6,7,1145,1155,1338,1405,XE,560,N19554,113,130,102,-27,-10,MSY,MCI,690
99145,2008,1,7,1,1155,1155,1355,1405,XE,560,N12563,120,130,107,-10,0,MSY,MCI,690
99146,2008,1,8,2,1149,1155,1358,1405,XE,560,N19554,129,130,106,-7,-6,MSY,MCI,690
99147,2008,1,9,3,1141,1155,1333,1405,XE,560,N14907,112,130,100,-32,-14,MSY,MCI,690
99148,2008,1,10,4,1146,1155,1347,1405,XE,560,N14186,121,130,109,-18,-9,MSY,MCI,690
99149,2008,1,11,5,1148,1155,1352,1405,XE,560,N12552,124,130,113,-13,-7,MSY,MCI,690
99150,2008,1,12,6,1148,1155,1351,1405,XE,560,N12563,123,130,101,-14,-7,MSY,MCI,690
99151,2008,1,13,7,1149,1155,1346,1405,XE,560,N17196,117,130,107,-19,-6,MSY,MCI,690
99152,2008,1,14,1,1157,1155,1355,1405,XE,560,N12563,118,130,102,-10,2,MSY,MCI,690
99153,2008,1,15,2,1151,1155,1345,1405,XE,560,N11544,114,130,105,-20,-4,MSY,MCI,690
99154,2008,1,16,3,1205,1155,1404,1405,XE,560,N12563,119,130,97,-1,10,MSY,MCI,690
99155,2008,1,17,4,1207,1155,1406,1405,XE,560,N19554,119,130,109,1,12,MSY,MCI,690
99156,2008,1,18,5,1233,1155,1436,1405,XE,560,N12563,123,130,102,31,38,MSY,MCI,690
99157,2008,1,19,6,1159,1155,1349,1405,XE,560,N18557,110,130,96,-16,4,MSY,MCI,690
99158,2008,1,20,7,1146,1155,1343,1405,XE,560,N11193,117,130,106,-22,-9,MSY,MCI,690
99159,2008,1,21,1,1605,1155,1810,1405,XE,560,N16559,125,130,108,245,250,MSY,MCI,690
99160,2008,1,22,2,1145,1155,1345,1405,XE,560,N11193,120,130,111,-20,-10,MSY,MCI,690
99161,2008,1,23,3,1144,1155,1344,1405,XE,560,N16559,120,130,109,-21,-11,MSY,MCI,690
99162,2008,1,24,4,1150,1155,1401,1405,XE,560,N14907,131,130,116,-4,-5,MSY,MCI,690
99163,2008,1,25,5,1152,1155,1400,1405,XE,560,N13553,128,130,116,-5,-3,MSY,MCI,690
99164,2008,1,26,6,1146,1155,1401,1405,XE,560,N19554,135,130,125,-4,-9,MSY,MCI,690
99165,2008,1,27,7,1141,1155,1410,1405,XE,560,N12563,149,130,124,5,-14,MSY,MCI,690
99166,2008,1,28,1,1145,1155,1355,1405,XE,560,N12166,130,130,115,-10,-10,MSY,MCI,690
99167,2008,1,29,2,1153,1155,1404,1405,XE,560,N19554,131,130,115,-1,-2,MSY,MCI,690
99168,2008,1,30,3,1145,1155,1337,1405,XE,560,N12552,112,130,102,-28,-10,MSY,MCI,690
99169,2008,1,31,4,1154,1155,1420,1405,XE,560,N19554,146,130,104,15,-1,MSY,MCI,690
99170,2008,1,1,2,933,935,1314,1316,XE,60,N13553,161,161,143,-2,-2,TUS,OMA,1046
99171,2008,1,2,3,935,935,1313,1316,XE,60,N17560,158,161,143,-3,0,TUS,OMA,1046
99172,2008,1,3,4,952,935,1327,1316,XE,60,N27200,155,161,142,11,17,TUS,OMA,1046
99173,2008,1,4,5,926,935,1245,1316,XE,60,N13553,139,161,125,-31,-9,TUS,OMA,1046
99174,2008,1,5,6,928,935,1254,1316,XE,60,N19554,146,161,135,-22,-7,TUS,OMA,1046
99175,2008,1,6,7,947,935,1308,1316,XE,60,N14907,141,161,125,-8,12,TUS,OMA,1046
99176,2008,1,7,1,926,935,1240,1316,XE,60,N16561,134,161,119,-36,-9,TUS,OMA,1046
99177,2008,1,8,2,932,935,1318,1316,XE,60,N13550,166,161,140,2,-3,TUS,OMA,1046
99178,2008,1,9,3,928,935,1252,1316,XE,60,N13550,144,161,126,-24,-7,TUS,OMA,1046
99179,2008,1,10,4,939,935,1339,1316,XE,60,N16561,180,161,148,23,4,TUS,OMA,1046
99180,2008,1,11,5,925,935,1247,1316,XE,60,N11544,142,161,128,-29,-10,TUS,OMA,1046
99181,2008,1,12,6,931,935,1301,1316,XE,60,N18557,150,161,140,-15,-4,TUS,OMA,1046
99182,2008,1,13,7,921,935,1248,1316,XE,60,N14562,147,161,136,-28,-14,TUS,OMA,1046
99183,2008,1,14,1,927,935,1302,1316,XE,60,N17560,155,161,139,-14,-8,TUS,OMA,1046
99184,2008,1,15,2,930,935,1309,1316,XE,60,N11547,159,161,146,-7,-5,TUS,OMA,1046
99185,2008,1,16,3,934,935,1301,1316,XE,60,N11547,147,161,132,-15,-1,TUS,OMA,1046
99186,2008,1,17,4,931,935,1257,1316,XE,60,N16559,146,161,130,-19,-4,TUS,OMA,1046
99187,2008,1,18,5,923,935,1254,1316,XE,60,N11193,151,161,135,-22,-12,TUS,OMA,1046
99188,2008,1,19,6,933,935,1259,1316,XE,60,N15555,146,161,135,-17,-2,TUS,OMA,1046
99189,2008,1,20,7,939,935,1308,1316,XE,60,N14907,149,161,137,-8,4,TUS,OMA,1046
99190,2008,1,21,1,952,935,1313,1316,XE,60,N13553,141,161,128,-3,17,TUS,OMA,1046
99191,2008,1,22,2,924,935,1247,1316,XE,60,N17560,143,161,123,-29,-11,TUS,OMA,1046
99192,2008,1,23,3,929,935,1249,1316,XE,60,N12552,140,161,130,-27,-6,TUS,OMA,1046
99193,2008,1,24,4,929,935,1252,1316,XE,60,N18557,143,161,129,-24,-6,TUS,OMA,1046
99194,2008,1,25,5,1043,935,1400,1316,XE,60,N11544,137,161,124,44,68,TUS,OMA,1046
99195,2008,1,26,6,925,935,1300,1316,XE,60,N11192,155,161,143,-16,-10,TUS,OMA,1046
99196,2008,1,27,7,936,935,1311,1316,XE,60,N16559,155,161,128,-5,1,TUS,OMA,1046
99197,2008,1,28,1,936,935,1247,1316,XE,60,N13553,131,161,116,-29,1,TUS,OMA,1046
99198,2008,1,29,2,945,935,1315,1316,XE,60,N16546,150,161,134,-1,10,TUS,OMA,1046
99199,2008,1,30,3,926,935,1244,1316,XE,60,N11544,138,161,126,-32,-9,TUS,OMA,1046
99200,2008,1,31,4,929,935,1302,1316,XE,60,N16561,153,161,142,-14,-6,TUS,OMA,1046
99201,2008,1,1,2,1653,1525,1738,1617,XE,600,N12563,105,112,91,81,88,JAX,MSY,513
99202,2008,1,2,3,1530,1525,1635,1617,XE,600,N16561,125,112,92,18,5,JAX,MSY,513
99203,2008,1,3,4,1531,1525,1611,1617,XE,600,N11551,100,112,82,-6,6,JAX,MSY,513
99204,2008,1,4,5,1529,1525,1604,1617,XE,600,N12563,95,112,84,-13,4,JAX,MSY,513
99205,2008,1,5,6,1516,1525,1607,1617,XE,600,N13553,111,112,100,-10,-9,JAX,MSY,513
99206,2008,1,6,7,1521,1525,1554,1617,XE,600,N12552,93,112,81,-23,-4,JAX,MSY,513
99207,2008,1,7,1,1519,1525,1554,1617,XE,600,N14907,95,112,82,-23,-6,JAX,MSY,513
99208,2008,1,8,2,1517,1525,1553,1617,XE,600,N11551,96,112,83,-24,-8,JAX,MSY,513
99209,2008,1,9,3,1519,1525,1552,1617,XE,600,N12552,93,112,81,-25,-6,JAX,MSY,513
99210,2008,1,10,4,1523,1525,1620,1617,XE,600,N12563,117,112,90,3,-2,JAX,MSY,513
99211,2008,1,11,5,1522,1525,1602,1617,XE,600,N13553,100,112,85,-15,-3,JAX,MSY,513
99212,2008,1,12,6,1456,1505,1537,1557,XE,600,N11544,101,112,84,-20,-9,JAX,MSY,513
99213,2008,1,13,7,1518,1525,1603,1617,XE,600,N18557,105,112,88,-14,-7,JAX,MSY,513
99214,2008,1,14,1,1520,1525,1600,1617,XE,600,N14186,100,112,88,-17,-5,JAX,MSY,513
99215,2008,1,15,2,1515,1525,1555,1617,XE,600,N17560,100,112,87,-22,-10,JAX,MSY,513
99216,2008,1,16,3,1522,1525,1606,1617,XE,600,N13553,104,112,91,-11,-3,JAX,MSY,513
99217,2008,1,17,4,1516,1525,1604,1617,XE,600,N16178,108,112,92,-13,-9,JAX,MSY,513
99218,2008,1,18,5,1533,1525,1620,1617,XE,600,N16559,107,112,94,3,8,JAX,MSY,513
99219,2008,1,19,6,1509,1505,1548,1557,XE,600,N11193,99,112,87,-9,4,JAX,MSY,513
99220,2008,1,20,7,1515,1525,1556,1617,XE,600,N19554,101,112,86,-21,-10,JAX,MSY,513
99221,2008,1,21,1,1517,1525,1602,1617,XE,600,N14907,105,112,84,-15,-8,JAX,MSY,513
99222,2008,1,22,2,1523,1525,1616,1617,XE,600,N13553,113,112,93,-1,-2,JAX,MSY,513
99223,2008,1,23,3,1525,1525,1617,1617,XE,600,N12563,112,112,87,0,0,JAX,MSY,513
99224,2008,1,24,4,1517,1525,1558,1617,XE,600,N19554,101,112,85,-19,-8,JAX,MSY,513
99225,2008,1,25,5,1519,1525,1620,1617,XE,600,N11193,121,112,89,3,-6,JAX,MSY,513
99226,2008,1,26,6,1540,1505,1629,1557,XE,600,N12563,109,112,96,32,35,JAX,MSY,513
99227,2008,1,27,7,1521,1525,1559,1617,XE,600,N14203,98,112,81,-18,-4,JAX,MSY,513
99228,2008,1,28,1,1521,1525,1556,1617,XE,600,N14562,95,112,81,-21,-4,JAX,MSY,513
99229,2008,1,29,2,1528,1525,1608,1617,XE,600,N13553,100,112,85,-9,3,JAX,MSY,513
99230,2008,1,30,3,1518,1525,1608,1617,XE,600,N16546,110,112,88,-9,-7,JAX,MSY,513
99231,2008,1,31,4,1527,1525,1616,1617,XE,600,N11544,109,112,96,-1,2,JAX,MSY,513
99232,2008,1,1,2,1805,1645,1934,1828,XE,600,N12563,89,103,74,66,80,MSY,AUS,445
99233,2008,1,2,3,1703,1645,1836,1828,XE,600,N16561,93,103,72,8,18,MSY,AUS,445
99234,2008,1,3,4,1653,1645,1816,1828,XE,600,N11551,83,103,71,-12,8,MSY,AUS,445
99235,2008,1,4,5,1641,1645,1808,1828,XE,600,N12563,87,103,72,-20,-4,MSY,AUS,445
99236,2008,1,5,6,1639,1645,1802,1828,XE,600,N13553,83,103,69,-26,-6,MSY,AUS,445
99237,2008,1,6,7,1642,1645,1808,1828,XE,600,N12552,86,103,70,-20,-3,MSY,AUS,445
99238,2008,1,7,1,1637,1645,1758,1828,XE,600,N14907,81,103,66,-30,-8,MSY,AUS,445
99239,2008,1,8,2,1635,1645,1803,1828,XE,600,N11551,88,103,70,-25,-10,MSY,AUS,445
99240,2008,1,9,3,1638,1645,1759,1828,XE,600,N12552,81,103,69,-29,-7,MSY,AUS,445
99241,2008,1,10,4,1648,1645,1833,1828,XE,600,N12563,105,103,79,5,3,MSY,AUS,445
99242,2008,1,11,5,1636,1645,1801,1828,XE,600,N13553,85,103,72,-27,-9,MSY,AUS,445
99243,2008,1,13,7,1639,1645,1806,1828,XE,600,N18557,87,103,74,-22,-6,MSY,AUS,445
99244,2008,1,14,1,1635,1645,1817,1828,XE,600,N14186,102,103,69,-11,-10,MSY,AUS,445
99245,2008,1,15,2,1643,1645,1808,1828,XE,600,N17560,85,103,70,-20,-2,MSY,AUS,445
99246,2008,1,16,3,1637,1645,1808,1828,XE,600,N13553,91,103,77,-20,-8,MSY,AUS,445
99247,2008,1,17,4,1639,1645,1804,1828,XE,600,N16178,85,103,72,-24,-6,MSY,AUS,445
99248,2008,1,18,5,1645,1645,1819,1828,XE,600,N16559,94,103,79,-9,0,MSY,AUS,445
99249,2008,1,20,7,1640,1645,1812,1828,XE,600,N19554,92,103,75,-16,-5,MSY,AUS,445
99250,2008,1,21,1,1635,1645,1811,1828,XE,600,N14907,96,103,77,-17,-10,MSY,AUS,445
99251,2008,1,22,2,1637,1645,1806,1828,XE,600,N13553,89,103,76,-22,-8,MSY,AUS,445
99252,2008,1,23,3,1641,1645,1825,1828,XE,600,N12563,104,103,76,-3,-4,MSY,AUS,445
99253,2008,1,24,4,1636,1645,1803,1828,XE,600,N19554,87,103,72,-25,-9,MSY,AUS,445
99254,2008,1,25,5,1649,1645,1820,1828,XE,600,N11193,91,103,77,-8,4,MSY,AUS,445
99255,2008,1,27,7,1636,1645,1755,1828,XE,600,N14203,79,103,69,-33,-9,MSY,AUS,445
99256,2008,1,28,1,1635,1645,1757,1828,XE,600,N14562,82,103,69,-31,-10,MSY,AUS,445
99257,2008,1,29,2,1651,1645,1824,1828,XE,600,N13553,93,103,76,-4,6,MSY,AUS,445
99258,2008,1,30,3,1643,1645,1817,1828,XE,600,N16546,94,103,77,-11,-2,MSY,AUS,445
99259,2008,1,31,4,1700,1645,1841,1828,XE,600,N11544,101,103,77,13,15,MSY,AUS,445
99260,2008,1,1,2,939,935,1045,1056,XE,608,N11551,66,81,55,-11,4,JAX,RDU,408
99261,2008,1,2,3,1148,935,1259,1056,XE,608,N11551,71,81,59,123,133,JAX,RDU,408
99262,2008,1,3,4,1001,935,1120,1056,XE,608,N12563,79,81,65,24,26,JAX,RDU,408
99263,2008,1,4,5,926,935,1041,1056,XE,608,N17196,75,81,65,-15,-9,JAX,RDU,408
99264,2008,1,5,6,922,935,1040,1056,XE,608,N17196,78,81,61,-16,-13,JAX,RDU,408
99265,2008,1,7,1,925,935,1053,1056,XE,608,N13553,88,81,61,-3,-10,JAX,RDU,408
99266,2008,1,8,2,925,935,1049,1056,XE,608,N13553,84,81,67,-7,-10,JAX,RDU,408
99267,2008,1,9,3,926,935,1049,1056,XE,608,N13553,83,81,71,-7,-9,JAX,RDU,408
99268,2008,1,10,4,932,935,1045,1056,XE,608,N19554,73,81,58,-11,-3,JAX,RDU,408
99269,2008,1,11,5,930,935,1051,1056,XE,608,N14907,81,81,64,-5,-5,JAX,RDU,408
99270,2008,1,12,6,927,935,1036,1056,XE,608,N14907,69,81,55,-20,-8,JAX,RDU,408
99271,2008,1,14,1,926,935,1034,1056,XE,608,N11544,68,81,57,-22,-9,JAX,RDU,408
99272,2008,1,15,2,927,935,1042,1056,XE,608,N18557,75,81,59,-14,-8,JAX,RDU,408
99273,2008,1,16,3,928,935,1036,1056,XE,608,N18557,68,81,57,-20,-7,JAX,RDU,408
99274,2008,1,17,4,942,935,1058,1056,XE,608,N18557,76,81,56,2,7,JAX,RDU,408
99275,2008,1,18,5,943,935,1101,1056,XE,608,N18557,78,81,59,5,8,JAX,RDU,408
99276,2008,1,19,6,927,935,1033,1056,XE,608,N19554,66,81,54,-23,-8,JAX,RDU,408
99277,2008,1,21,1,929,935,1111,1056,XE,608,N12563,102,81,59,15,-6,JAX,RDU,408
99278,2008,1,22,2,925,935,1039,1056,XE,608,N19554,74,81,59,-17,-10,JAX,RDU,408
99279,2008,1,23,3,933,935,1045,1056,XE,608,N14907,72,81,62,-11,-2,JAX,RDU,408
99280,2008,1,24,4,935,935,1044,1056,XE,608,N13553,69,81,55,-12,0,JAX,RDU,408
99281,2008,1,25,5,925,935,1044,1056,XE,608,N16559,79,81,61,-12,-10,JAX,RDU,408
99282,2008,1,26,6,927,935,1053,1056,XE,608,N16559,86,81,65,-3,-8,JAX,RDU,408
99283,2008,1,28,1,926,935,1045,1056,XE,608,N19554,79,81,68,-11,-9,JAX,RDU,408
99284,2008,1,29,2,926,935,1040,1056,XE,608,N18557,74,81,63,-16,-9,JAX,RDU,408
99285,2008,1,30,3,930,935,1048,1056,XE,608,N18557,78,81,59,-8,-5,JAX,RDU,408
99286,2008,1,31,4,925,935,1034,1056,XE,608,N17196,69,81,57,-22,-10,JAX,RDU,408
99289,2008,1,1,2,1350,1400,1559,1603,XE,61,N13553,189,183,172,-4,-10,OMA,TUS,1046
99290,2008,1,2,3,1355,1400,1540,1603,XE,61,N17560,165,183,150,-23,-5,OMA,TUS,1046
99291,2008,1,3,4,1403,1400,1555,1603,XE,61,N27200,172,183,156,-8,3,OMA,TUS,1046
99292,2008,1,4,5,1350,1400,1544,1603,XE,61,N13553,174,183,160,-19,-10,OMA,TUS,1046
99293,2008,1,5,6,1356,1400,1551,1603,XE,61,N19554,175,183,162,-12,-4,OMA,TUS,1046
99294,2008,1,6,7,1358,1400,1614,1603,XE,61,N14907,196,183,181,11,-2,OMA,TUS,1046
99295,2008,1,7,1,1350,1400,1601,1603,XE,61,N16561,191,183,174,-2,-10,OMA,TUS,1046
99296,2008,1,8,2,1350,1400,1601,1603,XE,61,N13550,191,183,170,-2,-10,OMA,TUS,1046
99297,2008,1,9,3,1350,1400,1616,1603,XE,61,N13550,206,183,182,13,-10,OMA,TUS,1046
99298,2008,1,10,4,1400,1400,1540,1603,XE,61,N16561,160,183,146,-23,0,OMA,TUS,1046
99299,2008,1,11,5,1354,1400,1542,1603,XE,61,N11544,168,183,156,-21,-6,OMA,TUS,1046
99300,2008,1,12,6,1350,1400,1529,1603,XE,61,N18557,159,183,147,-34,-10,OMA,TUS,1046
99301,2008,1,13,7,1350,1400,1532,1603,XE,61,N14562,162,183,150,-31,-10,OMA,TUS,1046
99302,2008,1,14,1,1357,1400,1532,1603,XE,61,N17560,155,183,143,-31,-3,OMA,TUS,1046
99303,2008,1,15,2,1403,1400,1551,1603,XE,61,N11547,168,183,156,-12,3,OMA,TUS,1046
99304,2008,1,16,3,1354,1400,1557,1603,XE,61,N11547,183,183,155,-6,-6,OMA,TUS,1046
99305,2008,1,17,4,1355,1400,1541,1603,XE,61,N16559,166,183,150,-22,-5,OMA,TUS,1046
99306,2008,1,18,5,1359,1400,1545,1603,XE,61,N11193,166,183,147,-18,-1,OMA,TUS,1046
99307,2008,1,19,6,1350,1400,1532,1603,XE,61,N15555,162,183,149,-31,-10,OMA,TUS,1046
99308,2008,1,20,7,1350,1400,1548,1603,XE,61,N14907,178,183,157,-15,-10,OMA,TUS,1046
99309,2008,1,21,1,1353,1400,1600,1603,XE,61,N13553,187,183,165,-3,-7,OMA,TUS,1046
99310,2008,1,22,2,1350,1400,1552,1603,XE,61,N17560,182,183,166,-11,-10,OMA,TUS,1046
99311,2008,1,23,3,1352,1400,1603,1603,XE,61,N12552,191,183,168,0,-8,OMA,TUS,1046
99312,2008,1,25,5,1427,1400,1635,1603,XE,61,N11544,188,183,171,32,27,OMA,TUS,1046
99313,2008,1,26,6,1351,1400,1551,1603,XE,61,N11192,180,183,169,-12,-9,OMA,TUS,1046
99314,2008,1,27,7,1358,1400,1610,1603,XE,61,N16559,192,183,170,7,-2,OMA,TUS,1046
99315,2008,1,28,1,1351,1400,1615,1603,XE,61,N13553,204,183,187,12,-9,OMA,TUS,1046
99316,2008,1,29,2,1351,1400,1550,1603,XE,61,N16546,179,183,153,-13,-9,OMA,TUS,1046
99317,2008,1,30,3,1350,1400,1546,1603,XE,61,N11544,176,183,163,-17,-10,OMA,TUS,1046
99318,2008,1,31,4,1355,1400,1537,1603,XE,61,N16561,162,183,150,-26,-5,OMA,TUS,1046
99319,2008,1,1,2,1422,1430,1538,1547,XE,612,N18557,76,77,59,-9,-8,AUS,MSY,445
99320,2008,1,2,3,1435,1430,1559,1547,XE,612,N11547,84,77,63,12,5,AUS,MSY,445
99321,2008,1,3,4,1426,1430,1536,1547,XE,612,N11544,70,77,59,-11,-4,AUS,MSY,445
99322,2008,1,4,5,1438,1430,1558,1547,XE,612,N12552,80,77,61,11,8,AUS,MSY,445
99323,2008,1,5,6,1434,1430,1546,1547,XE,612,N11547,72,77,59,-1,4,AUS,MSY,445
99324,2008,1,6,7,1455,1430,1615,1547,XE,612,N11551,80,77,62,28,25,AUS,MSY,445
99325,2008,1,7,1,1434,1430,1549,1547,XE,612,N19554,75,77,62,2,4,AUS,MSY,445
99326,2008,1,8,2,1424,1430,1550,1547,XE,612,N12563,86,77,57,3,-6,AUS,MSY,445
99327,2008,1,9,3,1425,1430,1534,1547,XE,612,N19554,69,77,60,-13,-5,AUS,MSY,445
99328,2008,1,10,4,1420,1430,1539,1547,XE,612,N14907,79,77,68,-8,-10,AUS,MSY,445
99329,2008,1,11,5,1424,1430,1534,1547,XE,612,N14186,70,77,58,-13,-6,AUS,MSY,445
99330,2008,1,13,7,1421,1430,1537,1547,XE,612,N12563,76,77,57,-10,-9,AUS,MSY,445
99331,2008,1,14,1,1420,1430,1535,1547,XE,612,N13553,75,77,62,-12,-10,AUS,MSY,445
99332,2008,1,15,2,1418,1430,1530,1547,XE,612,N12563,72,77,59,-17,-12,AUS,MSY,445
99333,2008,1,16,3,1420,1430,1536,1547,XE,612,N11544,76,77,61,-11,-10,AUS,MSY,445
99334,2008,1,17,4,1433,1430,1556,1547,XE,612,N12563,83,77,62,9,3,AUS,MSY,445
99335,2008,1,18,5,1443,1430,1557,1547,XE,612,N19554,74,77,59,10,13,AUS,MSY,445
99336,2008,1,20,7,1451,1430,1607,1547,XE,612,N16559,76,77,58,20,21,AUS,MSY,445
99337,2008,1,21,1,1426,1430,1536,1547,XE,612,N11193,70,77,59,-11,-4,AUS,MSY,445
99338,2008,1,22,2,1423,1430,1537,1547,XE,612,N16559,74,77,57,-10,-7,AUS,MSY,445
99339,2008,1,23,3,1425,1430,1538,1547,XE,612,N11193,73,77,57,-9,-5,AUS,MSY,445
99340,2008,1,24,4,1441,1430,1556,1547,XE,612,N16559,75,77,57,9,11,AUS,MSY,445
99341,2008,1,25,5,1429,1430,1549,1547,XE,612,N14907,80,77,60,2,-1,AUS,MSY,445
99342,2008,1,27,7,1529,1430,1641,1547,XE,612,N19554,72,77,60,54,59,AUS,MSY,445
99343,2008,1,28,1,1420,1430,1533,1547,XE,612,N18557,73,77,60,-14,-10,AUS,MSY,445
99344,2008,1,29,2,1429,1430,1545,1547,XE,612,N12552,76,77,58,-2,-1,AUS,MSY,445
99345,2008,1,30,3,1426,1430,1536,1547,XE,612,N19554,70,77,57,-11,-4,AUS,MSY,445
99346,2008,1,31,4,1425,1430,1556,1547,XE,612,N12552,91,77,71,9,-5,AUS,MSY,445
99347,2008,1,1,2,1617,1615,1839,1839,XE,612,N18557,82,84,67,0,2,MSY,JAX,513
99348,2008,1,2,3,1641,1615,1857,1839,XE,612,N11547,76,84,68,18,26,MSY,JAX,513
